,Mode,,Frequency,,Isotopologue
MODE,81,FREQUENCY=,633.36008,(CM**-1),CHHHD
MODE,82,FREQUENCY=,644.35841,(CM**-1),CHHHD
MODE,83,FREQUENCY=,647.85822,(CM**-1),CHHHD
MODE,84,FREQUENCY=,662.17747,(CM**-1),CHHHD
MODE,85,FREQUENCY=,663.22576,(CM**-1),CHHHD
MODE,86,FREQUENCY=,664.11594,(CM**-1),CHHHD
MODE,87,FREQUENCY=,677.1787,(CM**-1),CHHHD
MODE,88,FREQUENCY=,681.16421,(CM**-1),CHHHD
MODE,89,FREQUENCY=,683.85541,(CM**-1),CHHHD
MODE,90,FREQUENCY=,724.48667,(CM**-1),CHHHD
MODE,91,FREQUENCY=,728.60069,(CM**-1),CHHHD
MODE,92,FREQUENCY=,735.78739,(CM**-1),CHHHD
MODE,93,FREQUENCY=,803.41378,(CM**-1),CHHHD
MODE,94,FREQUENCY=,836.4671,(CM**-1),CHHHD
MODE,95,FREQUENCY=,880.46796,(CM**-1),CHHHD
MODE,96,FREQUENCY=,922.50876,(CM**-1),CHHHD
MODE,97,FREQUENCY=,938.29297,(CM**-1),CHHHD
MODE,98,FREQUENCY=,939.3912,(CM**-1),CHHHD
MODE,99,FREQUENCY=,943.46052,(CM**-1),CHHHD
MODE,100,FREQUENCY=,944.24614,(CM**-1),CHHHD
MODE,101,FREQUENCY=,954.60098,(CM**-1),CHHHD
MODE,102,FREQUENCY=,967.85669,(CM**-1),CHHHD
MODE,103,FREQUENCY=,989.85324,(CM**-1),CHHHD
MODE,104,FREQUENCY=,998.66058,(CM**-1),CHHHD
MODE,105,FREQUENCY=,1010.03343,(CM**-1),CHHHD
MODE,106,FREQUENCY=,1011.4297,(CM**-1),CHHHD
MODE,107,FREQUENCY=,1014.72686,(CM**-1),CHHHD
MODE,108,FREQUENCY=,1017.15893,(CM**-1),CHHHD
MODE,109,FREQUENCY=,1024.64938,(CM**-1),CHHHD
MODE,110,FREQUENCY=,1026.53515,(CM**-1),CHHHD
MODE,111,FREQUENCY=,1037.12394,(CM**-1),CHHHD
MODE,112,FREQUENCY=,1043.08351,(CM**-1),CHHHD
MODE,113,FREQUENCY=,1058.67314,(CM**-1),CHHHD
MODE,114,FREQUENCY=,1065.4355,(CM**-1),CHHHD
MODE,115,FREQUENCY=,1068.06851,(CM**-1),CHHHD
MODE,116,FREQUENCY=,1070.35538,(CM**-1),CHHHD
MODE,117,FREQUENCY=,1071.13446,(CM**-1),CHHHD
MODE,118,FREQUENCY=,1072.67349,(CM**-1),CHHHD
MODE,119,FREQUENCY=,1092.74301,(CM**-1),CHHHD
MODE,120,FREQUENCY=,1095.65121,(CM**-1),CHHHD
MODE,121,FREQUENCY=,1154.14163,(CM**-1),CHHHD
MODE,122,FREQUENCY=,1169.76559,(CM**-1),CHHHD
MODE,123,FREQUENCY=,1183.1364,(CM**-1),CHHHD
MODE,124,FREQUENCY=,1205.32755,(CM**-1),CHHHD
MODE,125,FREQUENCY=,1257.26375,(CM**-1),CHHHD
MODE,126,FREQUENCY=,1260.62346,(CM**-1),CHHHD
MODE,127,FREQUENCY=,1298.49593,(CM**-1),CHHHD
MODE,128,FREQUENCY=,1299.4967,(CM**-1),CHHHD
MODE,129,FREQUENCY=,1315.02134,(CM**-1),CHHHD
MODE,130,FREQUENCY=,1348.77448,(CM**-1),CHHHD
MODE,131,FREQUENCY=,1350.46306,(CM**-1),CHHHD
MODE,132,FREQUENCY=,1370.04379,(CM**-1),CHHHD
MODE,133,FREQUENCY=,1381.29985,(CM**-1),CHHHD
MODE,134,FREQUENCY=,1389.55612,(CM**-1),CHHHD
MODE,135,FREQUENCY=,1399.93302,(CM**-1),CHHHD
MODE,136,FREQUENCY=,1428.44255,(CM**-1),CHHHD
MODE,137,FREQUENCY=,1429.9919,(CM**-1),CHHHD
MODE,138,FREQUENCY=,1433.43585,(CM**-1),CHHHD
MODE,139,FREQUENCY=,1437.62047,(CM**-1),CHHHD
MODE,140,FREQUENCY=,1443.46733,(CM**-1),CHHHD
MODE,141,FREQUENCY=,1445.89492,(CM**-1),CHHHD
MODE,142,FREQUENCY=,1471.22484,(CM**-1),CHHHD
MODE,143,FREQUENCY=,1476.1327,(CM**-1),CHHHD
MODE,144,FREQUENCY=,1477.43158,(CM**-1),CHHHD
MODE,145,FREQUENCY=,1478.68112,(CM**-1),CHHHD
MODE,146,FREQUENCY=,1479.96999,(CM**-1),CHHHD
MODE,147,FREQUENCY=,1482.43295,(CM**-1),CHHHD
MODE,148,FREQUENCY=,1483.38549,(CM**-1),CHHHD
MODE,149,FREQUENCY=,1487.57729,(CM**-1),CHHHD
MODE,150,FREQUENCY=,1488.6377,(CM**-1),CHHHD
MODE,151,FREQUENCY=,1489.48785,(CM**-1),CHHHD
MODE,152,FREQUENCY=,1490.05134,(CM**-1),CHHHD
MODE,153,FREQUENCY=,1491.2517,(CM**-1),CHHHD
MODE,154,FREQUENCY=,1503.94795,(CM**-1),CHHHD
MODE,155,FREQUENCY=,1511.66035,(CM**-1),CHHHD
MODE,156,FREQUENCY=,1512.37339,(CM**-1),CHHHD
MODE,157,FREQUENCY=,1542.06255,(CM**-1),CHHHD
MODE,158,FREQUENCY=,1543.23013,(CM**-1),CHHHD
MODE,159,FREQUENCY=,1594.20936,(CM**-1),CHHHD
MODE,160,FREQUENCY=,1616.20131,(CM**-1),CHHHD
MODE,161,FREQUENCY=,1617.4094,(CM**-1),CHHHD
MODE,162,FREQUENCY=,1623.79778,(CM**-1),CHHHD
MODE,163,FREQUENCY=,1650.17369,(CM**-1),CHHHD
MODE,164,FREQUENCY=,1720.77708,(CM**-1),CHHHD
MODE,165,FREQUENCY=,1724.6644,(CM**-1),CHHHD
MODE,166,FREQUENCY=,3056.12694,(CM**-1),CHHHD
MODE,167,FREQUENCY=,3060.05208,(CM**-1),CHHHD
MODE,168,FREQUENCY=,3060.4127,(CM**-1),CHHHD
MODE,169,FREQUENCY=,3064.39626,(CM**-1),CHHHD
MODE,170,FREQUENCY=,3064.63422,(CM**-1),CHHHD
MODE,171,FREQUENCY=,3065.70422,(CM**-1),CHHHD
MODE,172,FREQUENCY=,3079.65393,(CM**-1),CHHHD
MODE,173,FREQUENCY=,3128.13867,(CM**-1),CHHHD
MODE,174,FREQUENCY=,3134.72234,(CM**-1),CHHHD
MODE,175,FREQUENCY=,3136.61896,(CM**-1),CHHHD
MODE,176,FREQUENCY=,3140.43409,(CM**-1),CHHHD
MODE,177,FREQUENCY=,3140.8836,(CM**-1),CHHHD
MODE,178,FREQUENCY=,3142.27307,(CM**-1),CHHHD
MODE,179,FREQUENCY=,3148.08915,(CM**-1),CHHHD
MODE,180,FREQUENCY=,3158.90706,(CM**-1),CHHHD
MODE,181,FREQUENCY=,3169.73694,(CM**-1),CHHHD
MODE,182,FREQUENCY=,3175.31026,(CM**-1),CHHHD
MODE,183,FREQUENCY=,3175.44824,(CM**-1),CHHHD
MODE,184,FREQUENCY=,3178.80356,(CM**-1),CHHHD
MODE,185,FREQUENCY=,3216.02429,(CM**-1),CHHHD
MODE,186,FREQUENCY=,3227.28493,(CM**-1),CHHHD
MODE,187,FREQUENCY=,3240.8043,(CM**-1),CHHHD
MODE,188,FREQUENCY=,3269.76202,(CM**-1),CHHHD
MODE,189,FREQUENCY=,3293.22407,(CM**-1),CHHHD
MODE,190,FREQUENCY=,3293.36641,(CM**-1),CHHHD
MODE,191,FREQUENCY=,3297.09455,(CM**-1),CHHHD
MODE,192,FREQUENCY=,3387.44721,(CM**-1),CHHHD
MODE,193,FREQUENCY=,3661.31517,(CM**-1),CHHHD
MODE,194,FREQUENCY=,3664.94753,(CM**-1),CHHHD
MODE,195,FREQUENCY=,3753.18524,(CM**-1),CHHHD
,,,,,
,,,,,
12-1-1-2-1,,,,,
MODE,1,FREQUENCY=,-1183.55143,(CM**-1),CHHDH
MODE,8,FREQUENCY=,21.30841,(CM**-1),CHHDH
MODE,9,FREQUENCY=,22.74255,(CM**-1),CHHDH
MODE,10,FREQUENCY=,25.45707,(CM**-1),CHHDH
MODE,11,FREQUENCY=,27.10543,(CM**-1),CHHDH
MODE,12,FREQUENCY=,28.33165,(CM**-1),CHHDH
MODE,13,FREQUENCY=,32.03148,(CM**-1),CHHDH
MODE,14,FREQUENCY=,36.89595,(CM**-1),CHHDH
MODE,15,FREQUENCY=,42.04364,(CM**-1),CHHDH
MODE,16,FREQUENCY=,45.23064,(CM**-1),CHHDH
MODE,17,FREQUENCY=,49.70708,(CM**-1),CHHDH
