f_100,d13C_100,dD_100,D13CH3D_100,D12CH2D2_100,f_66,d13C_66,dD_66,D13CH3D_66,D12CH2D2_66,f_33,d13C_33,dD_33,D13CH3D_33,D12CH2D2_33,f_0,d13C_0,dD_0,D13CH3D_0,D12CH2D2_0
0.99898,-41.34547,-169.30162,3.1028,8.20809,0.99898,-41.34503,-169.30345,3.10478,8.20699,0.99898,-41.34461,-169.30526,3.1067,8.20594,0.99898,-41.34419,-169.30708,3.10863,8.20489
0.99897,-41.34524,-169.29975,3.10275,8.20783,0.99897,-41.34479,-169.3016,3.10475,8.20672,0.99897,-41.34437,-169.30344,3.10669,8.20566,0.99897,-41.34395,-169.30527,3.10863,8.2046
0.99896,-41.345,-169.29789,3.1027,8.20758,0.99896,-41.34456,-169.29975,3.10471,8.20645,0.99896,-41.34413,-169.30161,3.10668,8.20538,0.99896,-41.3437,-169.30346,3.10864,8.20431
0.99895,-41.34477,-169.29602,3.10264,8.20732,0.99895,-41.34432,-169.29791,3.10468,8.20618,0.99895,-41.34389,-169.29978,3.10666,8.2051,0.99895,-41.34346,-169.30165,3.10864,8.20402
0.99894,-41.34454,-169.29416,3.10259,8.20706,0.99894,-41.34408,-169.29606,3.10465,8.20592,0.99894,-41.34365,-169.29795,3.10665,8.20482,0.99894,-41.34321,-169.29984,3.10865,8.20373
0.99893,-41.34431,-169.29229,3.10254,8.2068,0.99893,-41.34385,-169.29421,3.10462,8.20565,0.99893,-41.34341,-169.29612,3.10663,8.20454,0.99893,-41.34297,-169.29802,3.10865,8.20344
0.99892,-41.34408,-169.29043,3.10249,8.20654,0.99892,-41.34361,-169.29236,3.10458,8.20538,0.99892,-41.34317,-169.29429,3.10662,8.20427,0.99892,-41.34272,-169.29621,3.10866,8.20315
0.99891,-41.34384,-169.28856,3.10243,8.20629,0.99891,-41.34338,-169.29052,3.10455,8.20511,0.99891,-41.34293,-169.29246,3.10661,8.20399,0.99891,-41.34248,-169.2944,3.10866,8.20286
0.9989,-41.34361,-169.2867,3.10238,8.20603,0.9989,-41.34314,-169.28867,3.10452,8.20484,0.9989,-41.34269,-169.29063,3.10659,8.20371,0.9989,-41.34224,-169.29259,3.10867,8.20257
0.99889,-41.34338,-169.28483,3.10233,8.20577,0.99889,-41.3429,-169.28682,3.10449,8.20457,0.99889,-41.34245,-169.2888,3.10658,8.20343,0.99889,-41.34199,-169.29078,3.10867,8.20228
0.99888,-41.34315,-169.28296,3.10228,8.20551,0.99888,-41.34267,-169.28497,3.10445,8.2043,0.99888,-41.34221,-169.28697,3.10657,8.20315,0.99888,-41.34175,-169.28897,3.10868,8.20199
0.99887,-41.34292,-169.2811,3.10223,8.20525,0.99887,-41.34243,-169.28313,3.10442,8.20404,0.99887,-41.34197,-169.28514,3.10655,8.20287,0.99887,-41.3415,-169.28715,3.10868,8.2017
0.99886,-41.34268,-169.27923,3.10217,8.205,0.99886,-41.3422,-169.28128,3.10439,8.20377,0.99886,-41.34173,-169.28331,3.10654,8.20259,0.99886,-41.34126,-169.28534,3.10869,8.20142
0.99885,-41.34245,-169.27737,3.10212,8.20474,0.99885,-41.34196,-169.27943,3.10435,8.2035,0.99885,-41.34149,-169.28148,3.10652,8.20231,0.99885,-41.34101,-169.28353,3.10869,8.20113
0.99884,-41.34222,-169.2755,3.10207,8.20448,0.99884,-41.34172,-169.27759,3.10432,8.20323,0.99884,-41.34125,-169.27965,3.10651,8.20203,0.99884,-41.34077,-169.28172,3.1087,8.20084
0.99883,-41.34199,-169.27364,3.10202,8.20422,0.99883,-41.34149,-169.27574,3.10429,8.20296,0.99883,-41.34101,-169.27782,3.1065,8.20175,0.99883,-41.34052,-169.27991,3.1087,8.20055
0.99882,-41.34176,-169.27177,3.10197,8.20396,0.99882,-41.34125,-169.27389,3.10426,8.20269,0.99882,-41.34077,-169.27599,3.10648,8.20147,0.99882,-41.34028,-169.2781,3.10871,8.20026
0.99881,-41.34152,-169.26991,3.10191,8.20371,0.99881,-41.34101,-169.27204,3.10422,8.20242,0.99881,-41.34052,-169.27416,3.10647,8.2012,0.99881,-41.34004,-169.27628,3.10871,8.19997
0.9988,-41.34129,-169.26804,3.10186,8.20345,0.9988,-41.34078,-169.2702,3.10419,8.20215,0.9988,-41.34028,-169.27233,3.10645,8.20092,0.9988,-41.33979,-169.27447,3.10872,8.19968
0.99879,-41.34106,-169.26617,3.10181,8.20319,0.99879,-41.34054,-169.26835,3.10416,8.20189,0.99879,-41.34004,-169.27051,3.10644,8.20064,0.99879,-41.33955,-169.27266,3.10872,8.19939
0.99878,-41.34083,-169.26431,3.10176,8.20293,0.99878,-41.34031,-169.2665,3.10413,8.20162,0.99878,-41.3398,-169.26868,3.10643,8.20036,0.99878,-41.3393,-169.27085,3.10873,8.1991
