,Mode,,Frequency,,Isotopologue
MODE,352,FREQUENCY=,406.80087,(CM**-1),CDDDH
MODE,353,FREQUENCY=,448.86498,(CM**-1),CDDDH
MODE,354,FREQUENCY=,945.01832,(CM**-1),CDDDH
MODE,355,FREQUENCY=,1051.12201,(CM**-1),CDDDH
MODE,356,FREQUENCY=,1056.87464,(CM**-1),CDDDH
MODE,357,FREQUENCY=,2223.6207,(CM**-1),CDDDH
MODE,358,FREQUENCY=,2463.80048,(CM**-1),CDDDH
MODE,359,FREQUENCY=,2474.01287,(CM**-1),CDDDH
MODE,360,FREQUENCY=,2593.68813,(CM**-1),CDDDH
,,,,,
,,,,,
12-2-2-2-2,,,,,
MODE,1,FREQUENCY=,-139.17553,(CM**-1),CDDDD
MODE,341,FREQUENCY=,73.02255,(CM**-1),CDDDD
MODE,342,FREQUENCY=,84.78425,(CM**-1),CDDDD
MODE,343,FREQUENCY=,104.36053,(CM**-1),CDDDD
MODE,344,FREQUENCY=,124.14552,(CM**-1),CDDDD
MODE,345,FREQUENCY=,128.75305,(CM**-1),CDDDD
MODE,346,FREQUENCY=,203.62144,(CM**-1),CDDDD
MODE,347,FREQUENCY=,218.02911,(CM**-1),CDDDD
MODE,348,FREQUENCY=,230.55857,(CM**-1),CDDDD
MODE,349,FREQUENCY=,307.12353,(CM**-1),CDDDD
MODE,350,FREQUENCY=,330.94327,(CM**-1),CDDDD
MODE,351,FREQUENCY=,352.27846,(CM**-1),CDDDD
MODE,352,FREQUENCY=,406.75166,(CM**-1),CDDDD
MODE,353,FREQUENCY=,448.36472,(CM**-1),CDDDD
MODE,354,FREQUENCY=,685.67583,(CM**-1),CDDDD
MODE,355,FREQUENCY=,1051.10061,(CM**-1),CDDDD
MODE,356,FREQUENCY=,1056.86853,(CM**-1),CDDDD
MODE,357,FREQUENCY=,1863.01855,(CM**-1),CDDDD
MODE,358,FREQUENCY=,2223.62495,(CM**-1),CDDDD
MODE,359,FREQUENCY=,2463.80118,(CM**-1),CDDDD
MODE,360,FREQUENCY=,2474.01631,(CM**-1),CDDDD
,,,,,
,,,,,
13-1-1-1-1,,,,,
MODE,1,FREQUENCY=,-137.77264,(CM**-1),QHHHH
MODE,341,FREQUENCY=,79.1468,(CM**-1),QHHHH
MODE,342,FREQUENCY=,91.3536,(CM**-1),QHHHH
MODE,343,FREQUENCY=,128.31609,(CM**-1),QHHHH
MODE,344,FREQUENCY=,131.30301,(CM**-1),QHHHH
MODE,345,FREQUENCY=,146.03315,(CM**-1),QHHHH
MODE,346,FREQUENCY=,207.30204,(CM**-1),QHHHH
MODE,347,FREQUENCY=,220.34954,(CM**-1),QHHHH
MODE,348,FREQUENCY=,314.96579,(CM**-1),QHHHH
MODE,349,FREQUENCY=,356.02839,(CM**-1),QHHHH
MODE,350,FREQUENCY=,400.1171,(CM**-1),QHHHH
MODE,351,FREQUENCY=,433.83092,(CM**-1),QHHHH
MODE,352,FREQUENCY=,465.98062,(CM**-1),QHHHH
MODE,353,FREQUENCY=,606.65464,(CM**-1),QHHHH
MODE,354,FREQUENCY=,945.19462,(CM**-1),QHHHH
MODE,355,FREQUENCY=,1424.10571,(CM**-1),QHHHH
MODE,356,FREQUENCY=,1433.05958,(CM**-1),QHHHH
MODE,357,FREQUENCY=,2593.72614,(CM**-1),QHHHH
MODE,358,FREQUENCY=,3141.10895,(CM**-1),QHHHH
MODE,359,FREQUENCY=,3294.29236,(CM**-1),QHHHH
MODE,360,FREQUENCY=,3305.59478,(CM**-1),QHHHH
,,,,,
,,,,,
13-1-1-1-2,,,,,
MODE,1,FREQUENCY=,-137.77275,(CM**-1),QHHHD
MODE,341,FREQUENCY=,79.06362,(CM**-1),QHHHD
MODE,342,FREQUENCY=,90.62845,(CM**-1),QHHHD
MODE,343,FREQUENCY=,124.36132,(CM**-1),QHHHD
MODE,344,FREQUENCY=,128.83569,(CM**-1),QHHHD
MODE,345,FREQUENCY=,146.01584,(CM**-1),QHHHD
MODE,346,FREQUENCY=,206.94927,(CM**-1),QHHHD
MODE,347,FREQUENCY=,220.28051,(CM**-1),QHHHD
MODE,348,FREQUENCY=,232.19695,(CM**-1),QHHHD
MODE,349,FREQUENCY=,351.15913,(CM**-1),QHHHD
MODE,350,FREQUENCY=,398.94503,(CM**-1),QHHHD
MODE,351,FREQUENCY=,431.99425,(CM**-1),QHHHD
MODE,352,FREQUENCY=,464.18059,(CM**-1),QHHHD
MODE,353,FREQUENCY=,606.34215,(CM**-1),QHHHD
MODE,354,FREQUENCY=,686.02247,(CM**-1),QHHHD
MODE,355,FREQUENCY=,1424.09891,(CM**-1),QHHHD
MODE,356,FREQUENCY=,1433.05721,(CM**-1),QHHHD
MODE,357,FREQUENCY=,1863.08922,(CM**-1),QHHHD
MODE,358,FREQUENCY=,3141.10799,(CM**-1),QHHHD
MODE,359,FREQUENCY=,3294.29184,(CM**-1),QHHHD
MODE,360,FREQUENCY=,3305.59367,(CM**-1),QHHHD
,,,,,
,,,,,
13-1-1-2-1,,,,,
MODE,1,FREQUENCY=,-137.29114,(CM**-1),QHHDH
MODE,341,FREQUENCY=,75.89682,(CM**-1),QHHDH
MODE,342,FREQUENCY=,87.51531,(CM**-1),QHHDH
MODE,343,FREQUENCY=,128.26127,(CM**-1),QHHDH
MODE,344,FREQUENCY=,128.35174,(CM**-1),QHHDH
MODE,345,FREQUENCY=,132.98371,(CM**-1),QHHDH
MODE,346,FREQUENCY=,206.22146,(CM**-1),QHHDH
MODE,347,FREQUENCY=,218.029,(CM**-1),QHHDH
MODE,348,FREQUENCY=,314.29463,(CM**-1),QHHDH
MODE,349,FREQUENCY=,344.7116,(CM**-1),QHHDH
MODE,350,FREQUENCY=,356.26946,(CM**-1),QHHDH
MODE,351,FREQUENCY=,403.13433,(CM**-1),QHHDH
MODE,352,FREQUENCY=,449.20816,(CM**-1),QHHDH
MODE,353,FREQUENCY=,569.10899,(CM**-1),QHHDH
MODE,354,FREQUENCY=,945.16766,(CM**-1),QHHDH
MODE,355,FREQUENCY=,1196.25528,(CM**-1),QHHDH
MODE,356,FREQUENCY=,1420.97261,(CM**-1),QHHDH
MODE,357,FREQUENCY=,2366.08103,(CM**-1),QHHDH
MODE,358,FREQUENCY=,2593.70586,(CM**-1),QHHDH
MODE,359,FREQUENCY=,3203.35964,(CM**-1),QHHDH
MODE,360,FREQUENCY=,3299.37687,(CM**-1),QHHDH
,,,,,
,,,,,
13-1-2-1-1,,,,,
MODE,1,FREQUENCY=,-137.31908,(CM**-1),QHDHH
MODE,341,FREQUENCY=,77.69548,(CM**-1),QHDHH
