,Mode,,Frequency,,Isotopologue
MODE,63,FREQUENCY=,366.35978,(CM**-1),CHHHD
MODE,64,FREQUENCY=,373.24915,(CM**-1),CHHHD
MODE,65,FREQUENCY=,382.27003,(CM**-1),CHHHD
MODE,66,FREQUENCY=,444.18320,(CM**-1),CHHHD
MODE,67,FREQUENCY=,454.04382,(CM**-1),CHHHD
MODE,68,FREQUENCY=,492.11588,(CM**-1),CHHHD
MODE,69,FREQUENCY=,513.24080,(CM**-1),CHHHD
MODE,70,FREQUENCY=,523.11386,(CM**-1),CHHHD
MODE,71,FREQUENCY=,525.93558,(CM**-1),CHHHD
MODE,72,FREQUENCY=,534.97324,(CM**-1),CHHHD
MODE,73,FREQUENCY=,550.30016,(CM**-1),CHHHD
MODE,74,FREQUENCY=,569.12884,(CM**-1),CHHHD
MODE,75,FREQUENCY=,603.05696,(CM**-1),CHHHD
MODE,76,FREQUENCY=,614.65900,(CM**-1),CHHHD
MODE,77,FREQUENCY=,616.97661,(CM**-1),CHHHD
MODE,78,FREQUENCY=,618.04151,(CM**-1),CHHHD
MODE,79,FREQUENCY=,628.28826,(CM**-1),CHHHD
MODE,80,FREQUENCY=,636.29582,(CM**-1),CHHHD
MODE,81,FREQUENCY=,637.55104,(CM**-1),CHHHD
MODE,82,FREQUENCY=,649.13495,(CM**-1),CHHHD
MODE,83,FREQUENCY=,652.13643,(CM**-1),CHHHD
MODE,84,FREQUENCY=,663.69461,(CM**-1),CHHHD
MODE,85,FREQUENCY=,668.35392,(CM**-1),CHHHD
MODE,86,FREQUENCY=,669.77379,(CM**-1),CHHHD
MODE,87,FREQUENCY=,678.85688,(CM**-1),CHHHD
MODE,88,FREQUENCY=,680.40510,(CM**-1),CHHHD
MODE,89,FREQUENCY=,687.53706,(CM**-1),CHHHD
MODE,90,FREQUENCY=,722.75178,(CM**-1),CHHHD
MODE,91,FREQUENCY=,728.18091,(CM**-1),CHHHD
MODE,92,FREQUENCY=,729.24129,(CM**-1),CHHHD
MODE,93,FREQUENCY=,786.20461,(CM**-1),CHHHD
MODE,94,FREQUENCY=,819.05722,(CM**-1),CHHHD
MODE,95,FREQUENCY=,875.80584,(CM**-1),CHHHD
MODE,96,FREQUENCY=,924.90378,(CM**-1),CHHHD
MODE,97,FREQUENCY=,943.28706,(CM**-1),CHHHD
MODE,98,FREQUENCY=,947.04365,(CM**-1),CHHHD
MODE,99,FREQUENCY=,948.35821,(CM**-1),CHHHD
MODE,100,FREQUENCY=,951.51408,(CM**-1),CHHHD
MODE,101,FREQUENCY=,960.56596,(CM**-1),CHHHD
MODE,102,FREQUENCY=,965.74344,(CM**-1),CHHHD
MODE,103,FREQUENCY=,990.86284,(CM**-1),CHHHD
MODE,104,FREQUENCY=,997.34530,(CM**-1),CHHHD
MODE,105,FREQUENCY=,1016.54285,(CM**-1),CHHHD
MODE,106,FREQUENCY=,1021.19593,(CM**-1),CHHHD
MODE,107,FREQUENCY=,1027.13029,(CM**-1),CHHHD
MODE,108,FREQUENCY=,1034.09097,(CM**-1),CHHHD
MODE,109,FREQUENCY=,1035.18574,(CM**-1),CHHHD
MODE,110,FREQUENCY=,1038.61178,(CM**-1),CHHHD
MODE,111,FREQUENCY=,1047.67800,(CM**-1),CHHHD
MODE,112,FREQUENCY=,1054.67106,(CM**-1),CHHHD
MODE,113,FREQUENCY=,1072.14144,(CM**-1),CHHHD
MODE,114,FREQUENCY=,1077.90602,(CM**-1),CHHHD
MODE,115,FREQUENCY=,1081.89197,(CM**-1),CHHHD
MODE,116,FREQUENCY=,1085.15312,(CM**-1),CHHHD
MODE,117,FREQUENCY=,1089.93947,(CM**-1),CHHHD
MODE,118,FREQUENCY=,1092.84720,(CM**-1),CHHHD
MODE,119,FREQUENCY=,1101.48217,(CM**-1),CHHHD
MODE,120,FREQUENCY=,1103.61669,(CM**-1),CHHHD
MODE,121,FREQUENCY=,1174.90299,(CM**-1),CHHHD
MODE,122,FREQUENCY=,1183.69443,(CM**-1),CHHHD
MODE,123,FREQUENCY=,1205.75844,(CM**-1),CHHHD
MODE,124,FREQUENCY=,1220.47624,(CM**-1),CHHHD
MODE,125,FREQUENCY=,1268.26956,(CM**-1),CHHHD
MODE,126,FREQUENCY=,1274.14282,(CM**-1),CHHHD
MODE,127,FREQUENCY=,1301.46388,(CM**-1),CHHHD
MODE,128,FREQUENCY=,1305.91138,(CM**-1),CHHHD
MODE,129,FREQUENCY=,1309.55443,(CM**-1),CHHHD
MODE,130,FREQUENCY=,1356.78826,(CM**-1),CHHHD
MODE,131,FREQUENCY=,1361.82205,(CM**-1),CHHHD
MODE,132,FREQUENCY=,1367.61176,(CM**-1),CHHHD
MODE,133,FREQUENCY=,1393.40685,(CM**-1),CHHHD
MODE,134,FREQUENCY=,1404.78787,(CM**-1),CHHHD
MODE,135,FREQUENCY=,1410.57258,(CM**-1),CHHHD
MODE,136,FREQUENCY=,1428.63829,(CM**-1),CHHHD
MODE,137,FREQUENCY=,1441.09429,(CM**-1),CHHHD
MODE,138,FREQUENCY=,1444.09659,(CM**-1),CHHHD
MODE,139,FREQUENCY=,1448.09975,(CM**-1),CHHHD
MODE,140,FREQUENCY=,1457.69486,(CM**-1),CHHHD
MODE,141,FREQUENCY=,1465.39100,(CM**-1),CHHHD
MODE,142,FREQUENCY=,1482.29720,(CM**-1),CHHHD
MODE,143,FREQUENCY=,1493.19194,(CM**-1),CHHHD
MODE,144,FREQUENCY=,1494.12414,(CM**-1),CHHHD
MODE,145,FREQUENCY=,1494.72983,(CM**-1),CHHHD
MODE,146,FREQUENCY=,1497.84410,(CM**-1),CHHHD
MODE,147,FREQUENCY=,1499.45852,(CM**-1),CHHHD
MODE,148,FREQUENCY=,1501.17037,(CM**-1),CHHHD
MODE,149,FREQUENCY=,1501.36882,(CM**-1),CHHHD
MODE,150,FREQUENCY=,1506.96244,(CM**-1),CHHHD
MODE,151,FREQUENCY=,1509.02099,(CM**-1),CHHHD
MODE,152,FREQUENCY=,1509.54286,(CM**-1),CHHHD
MODE,153,FREQUENCY=,1510.05697,(CM**-1),CHHHD
MODE,154,FREQUENCY=,1513.86079,(CM**-1),CHHHD
MODE,155,FREQUENCY=,1526.36374,(CM**-1),CHHHD
MODE,156,FREQUENCY=,1532.09403,(CM**-1),CHHHD
MODE,157,FREQUENCY=,1550.70614,(CM**-1),CHHHD
MODE,158,FREQUENCY=,1552.88943,(CM**-1),CHHHD
MODE,159,FREQUENCY=,1600.34911,(CM**-1),CHHHD
MODE,160,FREQUENCY=,1630.74754,(CM**-1),CHHHD
MODE,161,FREQUENCY=,1633.92894,(CM**-1),CHHHD
MODE,162,FREQUENCY=,1636.08326,(CM**-1),CHHHD
MODE,163,FREQUENCY=,1676.59666,(CM**-1),CHHHD
MODE,164,FREQUENCY=,1730.00579,(CM**-1),CHHHD
