series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8722689075630252,0.008372558175066434,0.030428798052737682,-1.8245147545535938,-5.766424803722359,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8789915966386554,0.007902141154940435,0.028719141917728442,-1.7221020577051942,-5.443328130394968,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8857142857142857,0.007435230364917599,0.027022227805787957,-1.6204412996268955,-5.122535435280089,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8924369747899161,0.006971773317682797,0.0253378648544675,-1.5195213689572558,-4.8040131032290425,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8991596638655464,0.006511719538917311,0.023665869703548892,-1.4193314907672452,-4.487728599693408,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9058823529411766,0.006055019316215536,0.02200606168425395,-1.3198610888285711,-4.173649955896438,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9126050420168068,0.005601624115280626,0.020358264430936985,-1.2210998258306074,-3.8617459267619827,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.919327731092437,0.005151486441602983,0.018722305354862013,-1.1230375854831625,-3.5519859284665154,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9260504201680673,0.004704559888942709,0.017098015839570328,-1.0256644733425397,-3.244340047141022,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9327731092436975,0.004260798793159872,0.015485229903668848,-0.9289707827665955,-2.9387789127319843,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9394957983193277,0.0038201588759623753,0.013883786708462789,-0.8329470478797658,-2.6352739090384896,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.946218487394958,0.0033825963290694495,0.012293527006073805,-0.7375839606188633,-2.333796857712637,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9529411764705882,0.002948068578876741,0.010714296118588425,-0.6428724331787419,-2.03432026523858,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9596638655462186,0.0025165337935570123,0.009145942027377233,-0.5488035530791496,-1.7368171532544079,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9663865546218489,0.0020879510272012055,0.007588315940182959,-0.455368592143743,-1.44126109810641,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9731092436974791,0.0016622801701820403,0.006041272103934234,-0.3625589994077581,-1.1476262077312305,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9798319327731093,0.0012394819615600147,0.004504667860114725,-0.2703663985121322,-0.8558871162459577,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9865546218487395,0.0008195178205514096,0.002978362991359762,-0.17878257266850234,-0.5660189284558326,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.9932773109243698,0.0004024253195800674,0.001462494468898758,-0.08781567328145193,-0.2780485422984902,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,1.0,0.0,0.0,0.0,0.0,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),mc,1,0.0,0.0,0.0,0.964931538680242,0.9256166637546143,0.2,0.09615011544766945,0.3494153376240609,-20.738714321387047,-64.26460382783976,0.04854393005371094,40.283663540686256,1000.0,True,0.195
MCR KIE (Ab initio),mc,1,0.0,0.0,0.0,0.964931538680242,0.9256166637546143,0.20672268907563027,0.09426209568549034,0.34255508628701115,-20.33583015950413,-63.042644408371366,0.04854393005371094,40.283663540686256,1000.0,True,0.195
